"SPECIESID","SPECIES","CREATED_AT","UPDATED_AT"
189,megaphyllus,2021-11-19 12:11:05.011 +0100,
191,melanogaster novaehollandiae,2021-11-19 12:11:05.011 +0100,
192,melanoleucos,2021-11-19 12:11:05.011 +0100,
193,membranaceus,2021-11-19 12:11:05.011 +0100,
194,midas,2021-11-19 12:11:05.011 +0100,
196,minor,2021-11-19 12:11:05.011 +0100,
197,mitchelli/minor,2021-11-19 12:11:05.011 +0100,
289,tadornoides,2021-11-19 12:11:05.011 +0100,
291,tapoatafa,2021-11-19 12:11:05.011 +0100,
292,tasmaniensis,2021-11-19 12:11:05.011 +0100,
293,tenebricosa,2021-11-19 12:11:05.011 +0100,
295,tenuirostris,2021-11-19 12:11:05.011 +0100,
296,thetis,2021-11-19 12:11:05.011 +0100,
297,thor,2021-11-19 12:11:05.011 +0100,
298,tibicen,2021-11-19 12:11:05.011 +0100,
300,tindalei,2021-11-19 12:11:05.011 +0100,
301,tridactylus,2021-11-19 12:11:05.011 +0100,
302,trilobus,2021-11-19 12:11:05.011 +0100,
304,tropica,2021-11-19 12:11:05.011 +0100,
305,tumbuna,2021-11-19 12:11:05.011 +0100,
306,tunneyi,2021-11-19 12:11:05.011 +0100,
308,ursinus,2021-11-19 12:11:05.011 +0100,
309,vanheumi,2021-11-19 12:11:05.011 +0100,
310,vanheurmi,2021-11-19 12:11:05.011 +0100,
311,varia,2021-11-19 12:11:05.011 +0100,
313,ventralis,2021-11-19 12:11:05.011 +0100,
314,verecundus,2021-11-19 12:11:05.011 +0100,
316,vestitus,2021-11-19 12:11:05.011 +0100,
317,villosissimus,2021-11-19 12:11:05.011 +0100,
318,virginiae,2021-11-19 12:11:05.011 +0100,
319,viverrinus,2021-11-19 12:11:05.011 +0100,
321,vulpecula,2021-11-19 12:11:05.011 +0100,
322,wakefieldi,2021-11-19 12:11:05.011 +0100,
323,wallicus,2021-11-19 12:11:05.011 +0100,
325,woodwardi,2021-11-19 12:11:05.011 +0100,
326,yvonnae,2021-11-19 12:11:05.011 +0100,
-9991,NA,2021-11-19 12:11:05.011 +0100,
-9999,ND,2021-11-19 12:11:05.011 +0100,
3,agilis,2021-11-19 12:11:05.011 +0100,
7,albocinereus,2021-11-19 12:11:05.011 +0100,
2,afra,2021-11-19 12:11:05.011 +0100,
1,aculeatus,2021-11-19 12:11:05.011 +0100,
11,anatinus,2021-11-19 12:11:05.011 +0100,
16,arfakianus,2021-11-19 12:11:05.011 +0100,
21,atlas,2021-11-19 12:11:05.011 +0100,
24,australis,2021-11-19 12:11:05.011 +0100,
28,barbata,2021-11-19 12:11:05.011 +0100,
32,bennetti,2021-11-19 12:11:05.011 +0100,
37,bougainville,2021-11-19 12:11:05.011 +0100,
41,breviceps,2021-11-19 12:11:05.011 +0100,
45,bruijni,2021-11-19 12:11:05.011 +0100,
50,calura,2021-11-19 12:11:05.011 +0100,
54,castanea,2021-11-19 12:11:05.011 +0100,
58,cervinipes,2021-11-19 12:11:05.011 +0100,
63,concinna,2021-11-19 12:11:05.011 +0100,
66,conspicillatus,2021-11-19 12:11:05.011 +0100,
72,cupreus,2021-11-19 12:11:05.011 +0100,
76,delicatulus,2021-11-19 12:11:05.011 +0100,
81,dolichura,2021-11-19 12:11:05.011 +0100,
85,ecaudatus,2021-11-19 12:11:05.011 +0100,
89,ewingi,2021-11-19 12:11:05.011 +0100,
94,fieldi,2021-11-19 12:11:05.011 +0100,
98,forbesi,2021-11-19 12:11:05.011 +0100,
102,fuliginosus,2021-11-19 12:11:05.011 +0100,
106,fuscipes coracius,2021-11-19 12:11:05.011 +0100,
112,geoffroyi,2021-11-19 12:11:05.011 +0100,
116,giganteus titan,2021-11-19 12:11:05.011 +0100,
121,goliath,2021-11-19 12:11:05.011 +0100,
125,graculina,2021-11-19 12:11:05.011 +0100,
130,gunnii,2021-11-19 12:11:05.011 +0100,
134,hacketti,2021-11-19 12:11:05.011 +0100,
138,harrisii,2021-11-19 12:11:05.011 +0100,
140,hermannsbergensis,2021-11-19 12:11:05.011 +0100,
141,higginsi,2021-11-19 12:11:05.011 +0100,
142,hilli,2021-11-19 12:11:05.011 +0100,
143,hirsutus,2021-11-19 12:11:05.011 +0100,
188,mayeri,2021-11-19 12:11:05.011 +0100,
144,hirsutus/leporides,2021-11-19 12:11:05.011 +0100,
145,hirtipes,2021-11-19 12:11:05.011 +0100,
146,hopei,2021-11-19 12:11:05.011 +0100,
147,illuminata,2021-11-19 12:11:05.011 +0100,
148,imitator,2021-11-19 12:11:05.011 +0100,
149,inerme,2021-11-19 12:11:05.011 +0100,
150,inornata,2021-11-19 12:11:05.011 +0100,
151,irma,2021-11-19 12:11:05.011 +0100,
152,kalubu,2021-11-19 12:11:05.011 +0100,
153,kingii,2021-11-19 12:11:05.011 +0100,
154,kitcheneri,2021-11-19 12:11:05.011 +0100,
155,krefftii,2021-11-19 12:11:05.011 +0100,
156,laevis,2021-11-19 12:11:05.011 +0100,
157,lagotis,2021-11-19 12:11:05.011 +0100,
158,laniarius,2021-11-19 12:11:05.011 +0100,
159,laniger,2021-11-19 12:11:05.011 +0100,
160,lateralis,2021-11-19 12:11:05.011 +0100,
161,lathami,2021-11-19 12:11:05.011 +0100,
162,latifrons,2021-11-19 12:11:05.011 +0100,
163,leonina,2021-11-19 12:11:05.011 +0100,
164,lepidus,2021-11-19 12:11:05.011 +0100,
165,leporides,2021-11-19 12:11:05.011 +0100,
166,lesueur,2021-11-19 12:11:05.011 +0100,
167,lesueur/penicillata,2021-11-19 12:11:05.011 +0100,
168,lesueurii,2021-11-19 12:11:05.011 +0100,
169,leucopus,2021-11-19 12:11:05.011 +0100,
170,lineata,2021-11-19 12:11:05.011 +0100,
171,longicauda,2021-11-19 12:11:05.011 +0100,
172,longicollis,2021-11-19 12:11:05.011 +0100,
173,lophotes,2021-11-19 12:11:05.011 +0100,
174,loriae,2021-11-19 12:11:05.011 +0100,
175,lunata,2021-11-19 12:11:05.011 +0100,
176,lupus dingo,2021-11-19 12:11:05.011 +0100,
177,lutillus,2021-11-19 12:11:05.011 +0100,
178,lutreolus,2021-11-19 12:11:05.011 +0100,
179,macdonnellensis,2021-11-19 12:11:05.011 +0100,
180,macroura,2021-11-19 12:11:05.011 +0100,
181,macrourus,2021-11-19 12:11:05.011 +0100,
182,macrurus,2021-11-19 12:11:05.011 +0100,
183,maculata,2021-11-19 12:11:05.011 +0100,
184,maculatus,2021-11-19 12:11:05.011 +0100,
185,maddocki,2021-11-19 12:11:05.011 +0100,
186,magna,2021-11-19 12:11:05.011 +0100,
187,major,2021-11-19 12:11:05.011 +0100,
190,melanogaster,2021-11-19 12:11:05.011 +0100,
195,minimus,2021-11-19 12:11:05.011 +0100,
199,molucca,2021-11-19 12:11:05.011 +0100,
203,morphnoides,2021-11-19 12:11:05.011 +0100,
208,naracoortensis,2021-11-19 12:11:05.011 +0100,
213,newtonae,2021-11-19 12:11:05.011 +0100,
218,noibano,2021-11-19 12:11:05.011 +0100,
221,novaeguineae,2021-11-19 12:11:05.011 +0100,
226,occidentalis,2021-11-19 12:11:05.011 +0100,
230,orientalis,2021-11-19 12:11:05.011 +0100,
235,palpator,2021-11-19 12:11:05.011 +0100,
239,pearsoni,2021-11-19 12:11:05.011 +0100,
243,pennatus,2021-11-19 12:11:05.011 +0100,
247,platyceps,2021-11-19 12:11:05.011 +0100,
