"LAB_ORIGID","LAB_PREFIX","LAB_FACLTY","CNTRY","LAB_ACTIVE","LAB_MTD","LAB_URL","LAB_SOURCE","CREATED_AT","UPDATED_AT"
99,"ICA","International Chemical Analysis","USA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
100,"ICEN","Inst.o Tecnologico e Nuclear","PRT","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
101,"IEMAE","Inst. of Evolutionary Morphology & Animal Ecology","RUS","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
102,"IF AO","Inst. frangais d'archeologie orientale","EGY","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
103,"LAR","Liege State Univ.","BEL","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
104,"IGAN","Inst. of Geography","RUS","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
105,"IGS","Inst. of Geological Sci.","BLR","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
106,"IGSB","Inst. of Geological Sci.","BLR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
107,"IHME","Marzeev Inst. of Hygiene Med. Ecol.","UKR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
108,"II","Isotopes, Inc., Palo Alto","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
109,"IMTA","Inst. Mexicano de Tecnologia del Agua","MEX","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
110,"IOAN","Inst. of Oceanography","RUS","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
111,"IORAN","Inst. of Oceanology","RUS","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
112,"IRPA","Royal Inst. for Cultural Heritage","BEL","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
113,"ISGS","Illinois State Geological Survey","USA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
114,"IUACD","Inter Univ. Accelerator Centre","IND","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
115,"IVAN","Inst. of Volcanology","UKR","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
116,"IVIC","Caracas","VEN","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
117,"IWP","Inst. of Water Problems","RUS","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
118,"JAT","Tono Geoscience Center (JAEA)","JPN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
119,"K","Copenhagen","DNK","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
120,"KATRI","Korea Apparel Testing","KOR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
121,"KEEA","Kyushu Environ. Eval. Assoc. Property Research Inst.","JPN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
122,"KGM","Korea Inst. of Geoscience & Mineral Resources (KIGAM)","KOR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
123,"Kl","Kiel","DEU","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
124,"KIA","Kiel AMS","DEU","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
125,"Ki (KIEV)","Inst. of Radio-Geochemistry of the Environment","UKR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
126,"KIK","Royal Inst. for Cultural Heritage","BEL","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
127,"KN","Koln","DEU","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
128,"KR","Krakow","POL","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
129,"KRIL","Krasnoyarsk Inst.","RUS","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
130,"KSU","Kyoto Sangyo Univ.","JPN","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
131,"L","Lamont-Doherty","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
132,"LACUFF","Fluminense Federal Univ.","BRA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
133,"LAEC","Lebanese Atomic Energy Commission (LAEC)","LBN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
134,"LE","St. Petersburg","RUS","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
135,"LEMA","Lab. de Espectrometria de Masas con Aceleradores","MEX","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
136,"LIH","NCSR Demokritos","GRC","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
137,"u","Scripps (UCSD) La Jolla","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
138,"LTL","Univ. of Lecce","ITA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
139,"Lu","Lund","SWE","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
140,"LuA","Lund","SWE","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
141,"LuS","Lund","SWE","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
142,"LU","St. Petersburg State Univ.","RUS","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
143,"Lv","Louvain-la-Neuve","BEL","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
144,"Ly","Univ. of Lyon","FRA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
145,"LZU","Lanzhou Univ.","CHN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
146,"M","Univ. of Michigan","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
147,"Ma","Univ. of Winnepeg","CAN","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
148,"MAG","Quaternary Geology","RUS","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
