UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,CREATED_AT,UPDATED_AT,COLL_SPEC
302,PAL00051,Little Llangothlin Lagoon LL10,LLANGLL10,5,19,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
303,PAL00052,Little Llangothlin Lagoon LL11C,LL11C,5,19,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
304,PAL00020,Little Swamp_core1,LITTLESWP,5,14,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
305,PAL00329,Lizard Island Site 17 Trench 2,LIZARD17,6,5,29,01.10.09,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
306,PAL00142,LIWB01,LIWB01,5,20,112,2009,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
307,PAL00031,Loch Sport Swamp_core1,LOCHSPORT,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
308,PAL00330,Long Swamp Core A,LONGSWP,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
309,PAL00072,Lynchs Crater 2007 composite,LYNCH2007,5,-9999,111,,-9999.99,LYNCHA,Alternative NEO_HANDLE 'LYNCHA74'. The top 17 m were collected with a modified Vallentyne piston sampler but increasing dryness and compaction of the sediment with depth prevented further penetration. A much stronger sampler with the piston attached to a central rod within a tubular casing operated with the aid of chain hoists attached to a drilling rig was constructed to allow coring to 20 m.,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,Vallentyne piston sampler
310,PAL00073,Lynchs Crater Holocene Core 2,LYNCHHOL,5,20,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
311,PAL00117,Main Lake Tower Hill_core2,MLTH2010,5,19,111,01.01.10,0.1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
312,PAL00117,Main Lake Tower Hill_core1,MLTH1984,5,19,111,01.01.84,0.36,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
313,PAL00332,Maori Lakes East Centre_core1,MAORIC,5,7,111,,1.6,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
314,PAL00333,Maori Lakes East Edge_core1,MAORIEDG,5,14,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
315,PAL00101,MARR02,MARR02,5,14,111,01.06.10,0.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
316,PAL00102,MARR04,MARR04,5,14,111,01.06.12,0.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
317,PAL00334,Marton Swamp_core1,MARTONSWP,5,-9999,84,,2,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
318,PAL00074,MAR2,MAR2,5,41,111,01.09.15,11,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
319,PAL00335,McKenzie Road Bog_core1,MCKENZIE,5,-9999,84,,0.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
320,PAL00008,Micalong Swamp Core MS3,MICALONG,5,-9999,-9999,01.01.93,-9999.99,MICALONG,COREDATE source is IPPD,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
321,PAL00336,MPL12,MPL12,5,20,84,10.03.12,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
322,PAL00337,Middle Patriarch Swamp_core1,MIDPAT,5,-9999,84,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
323,PAL00338,Mill Bay_core1,MILLBAY,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
324,PAL00339,"Mill Creek cores 1, 2, 4 composite",MILLCK,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
325,PAL00340,Moanatuatua Bog Cores 1201 1202 composite,MOANATUA,5,14,84,01.11.12,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
326,PAL00341,Z0206,Z0206,5,14,84,23.05.02,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
327,PAL00143,Moon Point MP,MOON2012,5,14,84,01.07.11,0.5,MOON2012,"Three sediment cores were collected using a hand-held D-section (or Russian) peat corer. Two cores (a 0.45-m core and a 0.95-m core) were taken from Wathumba (Fig. 2) and a 3.15-m core was collected from Moon Point (Fig. 3). These cores underwent detailed sedimentological, palynological and char- coal analysis to characterise the environmental history of the Moon Point and Wathumba patterned fen complexes.",2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
328,PAL00342,Motutangi_core1,MOTUTANGI,5,21,84,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
329,PAL00343,Mount Quincan Q2,QUINCANQ2,5,19,84,01.10.06,0.35,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
330,PAL00345,Mountain Lagoon_core1,MNTLAG,5,-9999,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
331,PAL00346,Mt Hauhungatahi Site 1140_core1,HAUHUN1140,5,20,116,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
