UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,CREATED_AT,UPDATED_AT,COLL_SPEC,UNIT_DESCR
252,PAL00300,Lake Ohia_core1,,5,19,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
253,PAL00301,Lake Okoroire A1 B3 D1 E1 composite,,5,19,111,,2.3,,,2023-11-29 05:46:42.988 +1100,,,
254,PAL00302,Lake Omapere Core E1,,5,19,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
255,PAL00071,TAS1110,,5,19,111,01.01.11,9.5,,,2023-11-29 05:46:42.988 +1100,,,
256,PAL00303,Lake Pedder pond_core1,,5,20,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
257,PAL00070,TAS1303,,5,19,111,01.03.13,23,,,2023-11-29 05:46:42.988 +1100,,,
258,PAL00304,Lake Pupuke core P5,,5,7,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
259,PAL00036,Lake Purrumbete_core1,,5,-9999,111,,6,,,2023-11-29 05:46:42.988 +1100,,,
260,PAL00019,TAS1504,,5,19,111,01.01.15,42,,,2023-11-29 05:46:42.988 +1100,,,
261,PAL00305,Lake Rotoiti_core1,,5,20,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
262,PAL00306,Lake Rotokauri A1 A3 B1 B2 composite,,5,19,111,,4,,,2023-11-29 05:46:42.988 +1100,,,
263,PAL00307,Lake Rotokauri A1,,5,19,111,,4,,,2023-11-29 05:46:42.988 +1100,,,
264,PAL00308,Lake Rotokauri B1 B2 composite,,5,19,111,,4,,,2023-11-29 05:46:42.988 +1100,,,
265,PAL00309,Lake Rotomanuka A1 B1 composite,,5,19,111,,8,,,2023-11-29 05:46:42.988 +1100,,,
266,PAL00310,Lake Rotongaio RNGA3,,5,19,111,,5,,,2023-11-29 05:46:42.988 +1100,,,
267,PAL00311,Lake Rotonuiaha RNUI3,,5,19,111,,29,,,2023-11-29 05:46:42.988 +1100,,,
268,PAL00312,Lake Sarah_core1,,5,-9999,111,2008,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
269,PAL00121,TAS1402,,5,-9999,111,01.01.14,7.4,,,2023-11-29 05:46:42.988 +1100,,,
270,PAL00121,Lake Selina_core1,SEL1999,5,41,111,01-02-993,6.5,SEL1999,COREDATE source is IPPD,2023-11-29 05:46:42.988 +1100,,Mackereth Corer,
271,PAL00044,Lake Surprise_core1,,5,19,111,,12,,,2023-11-29 05:46:42.988 +1100,,,
272,PAL00313,Lake Sylvester Plateau LS1,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
273,PAL00313,Lake Sylvester Plateau LS3,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
274,PAL00257,Lake Tangonge Kaitaia Bog_core1,,5,19,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
275,PAL00314,Lake Tauanui Borehole 1,,5,19,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
276,PAL00315,Lake Taumatawhana_core1,,5,19,111,,6.5,,,2023-11-29 05:46:42.988 +1100,,,
277,PAL00316,Lake Te Aroha_core1,,5,19,111,2007,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
278,PAL00317,Lake Terang T1 T8 composite,,5,7,84,01.02.85,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
279,PAL00318,Lake Thomas_core1,,5,19,111,2007,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
280,PAL00040,Lake Turangmoroke LTC1,,5,18,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
281,PAL00041,Lake Turangmoroke LTC2,,5,7,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
282,PAL00319,Lake Tutira LT16,,5,19,111,,38,,,2023-11-29 05:46:42.988 +1100,,,
283,PAL00015,Lake Tyrrell Site 1_core1,,5,19,111,1980,0.5,,,2023-11-29 05:46:42.988 +1100,,,
284,PAL00016,Lake Tyrrell Site 2_core1,,5,19,111,01.12.81,0.5,,,2023-11-29 05:46:42.988 +1100,,,
285,PAL00122,TAS1108 SC LCA composite,TAS1108SC1,5,19,111,01.01.11,48,TAS1108SC1,,2023-11-29 05:46:42.988 +1100,,,
286,PAL00123,TAS1508N1,,5,19,111,01.12.15,48.6,,,2023-11-29 05:46:42.988 +1100,,,
287,PAL00320,Lake Waiau Swamp pollen core,,5,20,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
288,PAL00321,Lake Waikopiro LW8,,5,19,111,,14,,,2023-11-29 05:46:42.988 +1100,,,
289,PAL00322,Lake Wairarapa LW2,,5,19,111,25.09.09,2.7,,,2023-11-29 05:46:42.988 +1100,,,
290,PAL00039,Lake Wangoom LW87 core,,5,18,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
291,PAL00039,Lake Wangoom_core1,,5,18,111,01.05.84,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
292,PAL00323,Lake Wanum_core1,,5,-9999,111,,3.5,,,2023-11-29 05:46:42.988 +1100,,,
293,PAL00324,Lake Wanum LW II,,5,19,111,1974,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
294,PAL00067,Lake Werri Berri WB3,,14,40,111,01.06.19,0,,,2023-11-29 05:46:42.988 +1100,,,
295,PAL00325,Lake Wilks_core1,,5,19,111,2012,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
296,PAL00326,Laravita Tarn_core1,,5,-9999,84,01.06.74,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
297,PAL00022,LL10,,5,14,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
298,PAL00022,LL15,,5,14,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
299,PAL00022,Lashmar's Lagoon_core1,,5,19,111,,0.9,,,2023-11-29 05:46:42.988 +1100,,,
300,PAL00327,Letham Burn_core1,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
301,PAL00328,Lewis Pass_core1,,5,-9999,111,2008,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
302,PAL00051,Little Llangothlin Lagoon LL10,,5,19,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
303,PAL00052,Little Llangothlin Lagoon LL11C,,5,19,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
304,PAL00020,Little Swamp_core1,,5,14,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
305,PAL00329,Lizard Island Site 17 Trench 2,,6,5,29,01.10.09,0,,,2023-11-29 05:46:42.988 +1100,,,
306,PAL00142,LIWB01,,5,20,112,2009,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
