UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,CREATED_AT,UPDATED_AT,COLL_SPEC,UNIT_DESCR
1,PAL00151,Aguai Ramata_core1,,5,-9999,111,,2.9,,,2023-11-29 05:46:42.988 +1100,,,
2,PAL00152,Aire Crossing_core1,,5,-9999,28,,0,,,2023-11-29 05:46:42.988 +1100,,,
3,PAL00153,X77/50,,5,14,84,01.01.77,0,,,2023-11-29 05:46:42.988 +1100,,,
4,PAL00154,Ajkwa Estuary core 3,,5,20,112,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
5,PAL00155,Ajkwa Estuary core 4,,5,20,112,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
6,PAL00156,Ajkwa Estuary core 5,,5,20,112,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
7,PAL00157,Alexandra Cave ALEX,,5,7,110,,0,,,2023-11-29 05:46:42.988 +1100,,,
8,PAL00049,Allom Lake_core1,,5,19,111,01.07.03,3.7,,,2023-11-29 05:46:42.988 +1100,,,
9,PAL00119,Aluaipugua core 2,ALUAIPUGUA,5,14,84,1989,-9999.99,ALUAIPUGUA,,2023-11-29 05:46:42.988 +1100,,,
10,PAL00158,Anggi Lake_core1,,5,-9999,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
11,PAL00159,Apple Orchard Lagoon_core1,,5,-9999,111,01.12.19,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
12,PAL00093,Argan Swamp_core1,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
13,PAL00160,Awanui_core1,,5,21,84,,0,,,2023-11-29 05:46:42.988 +1100,,,
14,PAL00161,Badu 15_core1,,5,14,29,,0,,,2023-11-29 05:46:42.988 +1100,,,
15,PAL00094,Bar 20_core1,,5,14,111,,0.625,,,2023-11-29 05:46:42.988 +1100,,,
16,PAL00064,Barker Swamp BSC BSCX composite,,5,19,111,01.12.03,0,,,2023-11-29 05:46:42.988 +1100,,,
17,PAL00062,TAS1104,,5,19,111,01.01.11,5.2,,,2023-11-29 05:46:42.988 +1100,,,
18,PAL00095,Bega Swamp_core1,BEGASWAM,14,40,84,,-9999.99,BEGASWAM,,2023-11-29 05:46:42.988 +1100,,,
19,PAL00023,Bells Lagoon_core1,,5,19,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
20,PAL00162,Ben Dhu_core1,,5,-9999,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
21,PAL00083,Big Reedy Lagoon_core1,BIGREEDY,5,14,111,08.12.17,-9999.99,BIGREEDY,For more information on site/data contact Matthew Adeleye or Simon Haberle,2023-11-29 05:46:42.988 +1100,,,
22,PAL00011,Big Willum BW01,,5,-9999,111,01.08.11,4,,,2023-11-29 05:46:42.988 +1100,,,
23,PAL00012,Big Willum BW03,,5,19,111,01.08.11,4,,,2023-11-29 05:46:42.988 +1100,,,
24,PAL00013,BWIL2,,5,41,111,01.07.17,3.5,,,2023-11-29 05:46:42.988 +1100,,,
25,PAL00163,Bishops Swamp core BS1,,5,20,84,18.11.09,0,,,2023-11-29 05:46:42.988 +1100,,,
26,PAL00164,Black Creek Swamp Bone Bed trench section B6 East,,6,5,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
27,PAL00164,Black Creek Swamp pollen core,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
28,PAL00112,Black Springs BSP00,,5,-9999,116,01.07.05,-9999.99,,COREDATE source is IPPD,2023-11-29 05:46:42.988 +1100,,,
29,PAL00112,Black Springs BSP02,BSP02,5,14,116,01.06.15,-9999.99,BSP02,,2023-11-29 05:46:42.988 +1100,,,
30,PAL00096,Black Swamp_core1,BLACKSW,5,-9999,84,,-9999.99,BLACKSW,,2023-11-29 05:46:42.988 +1100,,,
31,PAL00165,Blackwater Lake_core1,,5,-9999,111,2008,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
32,PAL00166,Blackwells' Bush_core1,,5,21,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
33,PAL00167,Blanche Cave BC,,5,7,110,,0,,,2023-11-29 05:46:42.988 +1100,,,
34,PAL00168,TAS1602,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
35,PAL00007,Blue Lake Karboora 2007 composite,,5,18,111,2007,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
36,PAL00028,Blue Lake Kosciuszko_core1,,5,-9999,111,,28,,,2023-11-29 05:46:42.988 +1100,,,
37,PAL00029,Blue Lake Kosciuszko Core 6,,5,7,111,,28,,,2023-11-29 05:46:42.988 +1100,,,
38,PAL00030,Blue Lake Kosciuszko Core 2,,5,7,111,,28,,,2023-11-29 05:46:42.988 +1100,,,
39,PAL00030,Blue Lake Kosciuszko Core 3,,5,7,111,,28,,,2023-11-29 05:46:42.988 +1100,,,
40,PAL00030,Blue Lake Kosciuszko Core 1,,5,7,111,,28,,,2023-11-29 05:46:42.988 +1100,,,
41,PAL00169,Blundells Flat_core1,,5,-9999,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
42,PAL00170,Boat Harbour Creek BH2,,5,20,84,01.01.96,0,,,2023-11-29 05:46:42.988 +1100,,,
43,PAL00001,Bobundara Swamp pollen core,,5,14,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
44,PAL00171,Boggy Swamp_core1,,5,-9999,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
45,PAL00078,Boigu Gawat Swamp 1 core 2,,5,14,111,,1.5,,,2023-11-29 05:46:42.988 +1100,,,
46,PAL00079,Boigu Gawat Swamp 2 core 2,,5,14,111,,1.2,,,2023-11-29 05:46:42.988 +1100,,,
47,PAL00172,Bolin Billabong Core 1 Core 4 composite,,5,-9999,111,,3,,,2023-11-29 05:46:42.988 +1100,,,
48,PAL00024,Bondi Lake centre core,,5,14,111,,4.5,,,2023-11-29 05:46:42.988 +1100,,,
49,PAL00025,Bondi Lake south core,,5,14,111,,4.5,,,2023-11-29 05:46:42.988 +1100,,,
50,PAL00173,Boomer Swamp Core 12,,5,-9999,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
51,PAL00174,Boulder Flat_core1,,5,-9999,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
52,PAL00175,Breadalbane SE_core1,,5,18,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
53,PAL00045,Bridgewater Lake Core A,,5,-9999,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
54,PAL00046,Bridgewater Lake Core B,,5,-9999,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
55,PAL00047,Bridgewater Lake in situ beach peat,,5,-9999,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
56,PAL00048,Bridgewater Lake not in situ beach peat,,5,-9999,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
57,PAL00002,Bromfield Swamp core BS02,,5,19,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
58,PAL00003,Bromfield Swamp BSAT03,,5,19,84,01.06.09,1.1,,,2023-11-29 05:46:42.988 +1100,,,
59,PAL00004,Bromfield Swamp_core1,,5,17,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
60,PAL00176,Brooks Ridge Fen_core1,,14,40,-9999,01.01.95,0,,,2023-11-29 05:46:42.988 +1100,,,
61,PAL00177,Buck03,,5,7,7,01.12.16,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
62,PAL00177,Buck02,,5,7,7,01.12.16,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
63,PAL00178,Bullock Creek BC1,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
64,PAL00179,Bumpy Lagoon_core1,,5,-9999,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
65,PAL00180,Burraga Swamp centre core,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
66,PAL00181,Burralow Creek Swamp_core1,,5,20,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
67,PAL00182,Butchers Swamp_core1,,5,-9999,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
68,PAL00183,Buxton_core1,,5,19,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
69,PAL00055,Byenup Lagoon Site 1_core1,,5,14,111,1996,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
70,PAL00056,Byenup Lagoon Site 2_core1,,5,14,111,1997,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
71,PAL00184,Caledonia Fen 1997 2001 composite,,5,18,-9999,1997,0.1,,,2023-11-29 05:46:42.988 +1100,,,
72,PAL00184,Caledonia Fen 2009 core,,5,14,-9999,2009,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
73,PAL00128,Cameron's Lagoon_core1,CAMERONS,5,20,84,10.01.80,1,CAMERONS,Recored in 1983,2023-11-29 05:46:42.988 +1100,,,
74,PAL00185,Campbell Creek_core1,,5,20,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
75,PAL00186,Campbell Island Site B-120_core1,,5,20,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
76,PAL00187,Campbell Island Site B-50_core1,,5,20,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
77,PAL00188,Campbell Island Site S-115_core1,,5,7,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
78,PAL00189,Campbell Island Site S-195_core1,,5,7,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
79,PAL00190,Campbell Island Site S-30_core1,,6,5,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
80,PAL00191,Campbell Island Site S-360_core1,,5,7,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
81,PAL00192,Campbell Island Site T-420_core1,,5,7,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
82,PAL00097,Caution Bay Core 1,,5,20,112,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
83,PAL00098,Caution Bay Core 3,,5,20,112,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
84,PAL00193,Chapple Vale Swamp composite core,,5,7,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
85,PAL00194,Chumbrumba_core1,,5,14,84,2011,0,,,2023-11-29 05:46:42.988 +1100,,,
86,PAL00195,X72/77,,5,14,84,01.01.72,0,,,2023-11-29 05:46:42.988 +1100,,,
87,PAL00005,Cleveland Lagoon_core1,,6,5,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
88,PAL00084,Club Lake CL4,,5,19,-9999,2011,1,,,2023-11-29 05:46:42.988 +1100,,,
89,PAL00085,Club Lake western basin_core1,,14,40,-9999,,0,,,2023-11-29 05:46:42.988 +1100,,,
90,PAL00196,Cobb Valley CV2,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
91,PAL00197,Cobb Valley CV3,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
92,PAL00042,Cobrico Swamp edge_core1,,5,20,-9999,,1,,,2023-11-29 05:46:42.988 +1100,,,
93,PAL00099,CCS1,,5,14,84,12.04.18,0,,,2023-11-29 05:46:42.988 +1100,,,
94,PAL00138,CSM_NRP_001,,6,5,113,04.10.19,0,,,2023-11-29 05:46:42.988 +1100,,,
95,PAL00139,CSM_NRP_004,,6,5,113,04.12.19,0,,,2023-11-29 05:46:42.988 +1100,,,
96,PAL00140,CSM_NRP_007,,6,5,113,16.06.19,0,,,2023-11-29 05:46:42.988 +1100,,,
97,PAL00141,CSM_NRP_010,,6,5,113,17.07.19,0,,,2023-11-29 05:46:42.988 +1100,,,
98,PAL00198,CSN-Monolith,,14,40,84,08.02.22,0,,,2023-11-29 05:46:42.988 +1100,,,
99,PAL00199,Cotter Source Bog Centre Core A,,5,20,84,01.02.96,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
100,PAL00200,Cotter Source Bog Margin CSBM,,6,5,84,01.05.97,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
101,PAL00018,Crystal Lagoon_core1,CRYLGN,5,14,111,2019,1,CRYLGN,IPPD collection date is 18/12/2020,2023-11-29 05:46:42.988 +1100,,,
102,PAL00201,Cuddie Springs_core1,,5,-9999,-9999,,0,,,2023-11-29 05:46:42.988 +1100,,,
103,PAL00202,Curreens' Paddock_core1,,5,21,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
104,PAL00203,Dalhousie Springs_core1,,5,-9999,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
105,PAL00204,Dandabah Swamp DB-3,,5,18,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
106,PAL00488,Dead Sheep Cave DS,,5,7,110,,0,,,2023-11-29 05:46:42.988 +1100,,,
107,PAL00205,Deep Creek Tapanappa Swamp DCT2,,5,20,84,01.01.96,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
108,PAL00050,Deepwater Lake DWL,,5,19,111,2016,4.9,,,2023-11-29 05:46:42.988 +1100,,,
109,PAL00206,DP3,,5,-9999,28,1994,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
110,PAL00206,DP1,,5,-9999,28,1986,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
111,PAL00207,DP2,,5,-9999,28,1986,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
112,PAL00208,Diamond Lake 2007 core,,5,19,111,2007,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
113,PAL00208,Diamond Lake 2009 core,,5,-9999,111,2009,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
114,PAL00208,DIA2013,,5,19,111,2013,7.2,,,2023-11-29 05:46:42.988 +1100,,,
115,PAL00209,Dingle Burn_core1,,5,-9999,111,2008,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
116,PAL00006,Diprose Lagoon_core1,,5,19,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
117,PAL00124,TAS1507 SC2,,5,-9999,111,01.01.15,65,,,2023-11-29 05:46:42.988 +1100,,,
118,PAL00125,Dove Lake_core1,COREDC1,5,-9999,111,15.01.94,-9999,COREDC1,,2023-11-29 05:46:42.988 +1100,,Mackereth Corer,
119,PAL00210,Dublin Bog Core 8,,5,19,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
120,PAL00136,Dukes Tarn 2008 core,DUKES,5,-9999,111,01.03.08,-9999.99,DUKES,,2023-11-29 05:46:42.988 +1100,,polycarbonate tube (Klien core),
121,PAL00211,Duncan Stream_core1,,5,-9999,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
122,PAL00212,Dunphy Lake DL_C1,,5,7,111,12.10.14,0,,,2023-11-29 05:46:42.988 +1100,,,
123,PAL00212,Dunphy Lake DL_A1,,5,41,111,12.10.14,0,,,2023-11-29 05:46:42.988 +1100,,,
124,PAL00100,Egg Lagoon EL10 EL11 composite,EGGLGN,5,7,84,,-9999.99,EGGLGN,,2023-11-29 05:46:42.988 +1100,,hand-driven auger,
125,PAL00065,EPIC,,5,20,84,15.01.22,5,,,2023-11-29 05:46:42.988 +1100,,,
126,PAL00213,Erua Swamp_core1,,5,20,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
127,PAL00214,Euabalong Bore 36171,,5,-9999,28,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
