"SMPAGEID","SAMPLEID","CHRONLGYID","AGE","AGEYOUNGER","AGEOLDER","CREATED_AT","UPDATED_AT"
3784,3645,84,505,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3785,3645,85,542,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3786,3647,84,578,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3787,3647,85,617,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3788,3649,84,604,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3789,3649,85,644,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3790,3651,84,636,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3791,3651,85,678,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3792,3653,84,662,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3793,3653,85,705,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3794,3655,84,698,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3795,3655,85,742,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3796,3657,84,739,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3797,3657,85,785,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3798,3659,84,780,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3799,3659,85,828,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3800,3661,84,826,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3801,3661,85,876,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3802,3663,84,889,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3803,3663,85,941,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3804,3665,84,969,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3805,3665,85,1025,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3806,3667,84,1042,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3807,3667,85,1102,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3808,3669,84,1127,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3809,3669,85,1192,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3810,3671,84,1207,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3811,3671,85,1276,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3812,3673,84,1297,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3813,3673,85,1371,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3814,3675,84,1391,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3815,3675,85,1470,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3816,3677,84,1446,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3817,3677,85,1533,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3818,3679,84,1472,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
