CALPROGID,CALPROGRAM,CALPROGVER,CALPROGREF,PARENTID,CALPRODATE,CALPRONOTE,CREATED_AT,UPDATED_AT
80,CalPal,2019.7,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
81,CalPal,2019.8,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
82,CalPal,2019.10,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
83,CalPal,2020.1,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
84,CalPal,2020.2,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
85,CalPal,2020.3,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
86,CalPal,2020.4,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
87,CalPal,2020.5,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
88,CalPal,2020.6,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
89,CalPal,2020.7,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
90,CalPal,2020.8,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
91,CalPal,2020.9,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
92,CalPal,2020.10,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
93,CalPal,2020.11,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
94,CalPal,2020.12,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
95,CalPal,2021.1,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
96,CalPal,2021.2,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
97,CalPal,2021.3,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
98,CalPal,2021.4,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
99,CalPal,2021.5,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
100,CalPal,2021.6,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
101,CalPal,2021.7,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
102,CalPal,2021.8,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
103,CalPal,2021.9,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
104,CalPal,2021.10,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,2023-06-16 10:59:31.232 +0200
105,CalPal,2021.11,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
106,CalPal,2021.12,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
107,CalPal,2022.1,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
108,CalPal,2022.2,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
109,CalPal,2022.3,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
110,CalPal,2022.4,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
111,CalPal,2022.5,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
112,CalPal,2022.6,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
113,CalPal,2022.7,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
114,CalPal,2022.8,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
115,CalPal,2023.1,,47,,Distributable 64 Bit OS: 32/64 Bit xls/xlsx/ASCII-csv database,2023-06-16 09:56:22.112 +0200,
116,CalPal,2023.3,,47,,,2023-06-16 09:56:22.112 +0200,
117,Fairbanks0805,,Fairbanks:2005calibration,2,,,2023-06-16 09:56:22.112 +0200,
118,OxCal (non-specific),,BronkRamsey:1995oxcal,2,,,2023-06-16 09:56:22.112 +0200,
119,OxCal,2.00,,118,,,2023-06-16 09:56:22.112 +0200,
120,OxCal,2.01,,118,,,2023-06-16 09:56:22.112 +0200,
121,OxCal,2.10,,118,,,2023-06-16 09:56:22.112 +0200,
122,OxCal,2.11,,118,,,2023-06-16 09:56:22.112 +0200,
123,OxCal,2.12,,118,,,2023-06-16 09:56:22.112 +0200,
124,OxCal,2.13,,118,,,2023-06-16 09:56:22.112 +0200,
125,OxCal,2.14,,118,,,2023-06-16 09:56:22.112 +0200,
126,OxCal,2.15,,118,,,2023-06-16 09:56:22.112 +0200,
127,OxCal,2.16,,118,,,2023-06-16 09:56:22.112 +0200,
128,OxCal,2.17,,118,,,2023-06-16 09:56:22.112 +0200,
129,OxCal,2.18,,118,,,2023-06-16 09:56:22.112 +0200,
130,OxCal,3 beta,,118,,,2023-06-16 09:56:22.112 +0200,
131,OxCal,3.2,,118,,,2023-06-16 09:56:22.112 +0200,
132,OxCal,3.3 (beta1),,118,,,2023-06-16 09:56:22.112 +0200,
133,OxCal,3.3,,118,,,2023-06-16 09:56:22.112 +0200,
134,OxCal,3.4 (beta1),,118,,,2023-06-16 09:56:22.112 +0200,
135,OxCal,3.4,,118,,,2023-06-16 09:56:22.112 +0200,
136,OxCal,3.5,,118,,,2023-06-16 09:56:22.112 +0200,
137,OxCal,3.6,,118,,,2023-06-16 09:56:22.112 +0200,
138,OxCal,3.7,,118,,,2023-06-16 09:56:22.112 +0200,
139,OxCal,3.8,,118,,,2023-06-16 09:56:22.112 +0200,
140,OxCal,3.9,,118,,,2023-06-16 09:56:22.112 +0200,
141,OxCal,3.10,,118,,"executable requires Windows, 95, NT or later",2023-06-16 09:56:22.112 +0200,
142,OxCal,4.0.1,,118,,,2023-06-16 09:56:22.112 +0200,
143,OxCal,4.0.2,,118,,,2023-06-16 09:56:22.112 +0200,
144,OxCal,4.0.3,,118,,,2023-06-16 09:56:22.112 +0200,
145,OxCal,4.0.4,,118,,,2023-06-16 09:56:22.112 +0200,
146,OxCal,4.0.5,,118,,,2023-06-16 09:56:22.112 +0200,
147,OxCal,4.1,,118,,,2023-06-16 09:56:22.112 +0200,
148,OxCal,4.1.1,,118,,,2023-06-16 09:56:22.112 +0200,
149,OxCal,4.1.2,,118,,,2023-06-16 09:56:22.112 +0200,
150,OxCal,4.1.3,,118,,requires Firefox v16,2023-06-16 09:56:22.112 +0200,
151,OxCal,4.1.4,,118,,requires Firefox v16,2023-06-16 09:56:22.112 +0200,
152,OxCal,4.1.5,,118,,requires Firefox v16,2023-06-16 09:56:22.112 +0200,
153,OxCal,4.1.6,,118,,requires Firefox v16,2023-06-16 09:56:22.112 +0200,
154,OxCal,4.1.7,,118,,requires Firefox v16,2023-06-16 09:56:22.112 +0200,
155,OxCal,4.2,,118,,requires Firefox v16,2023-06-16 09:56:22.112 +0200,
