V_UNITID,V_UNITABBR,V_UNITNAME,PARENTID,CREATED_AT,UPDATED_AT
42,pres/abs,presence/absence (indet.),2,2023-04-16 23:39:20.660 +1000,
43,u,units (indet.),2,2023-04-16 23:39:20.660 +1000,
44,u (arb.),units (arbitrary),2,2023-04-16 23:39:20.660 +1000,
45,psdo,pseudo-unit,15,2023-04-16 23:39:20.660 +1000,
46,peak,peak measured,2,2023-04-16 23:39:20.660 +1000,
47,volmc,volumetric (indet.),2,2023-04-16 23:39:20.660 +1000,
48,gravc,gravimetric (indet.),2,2023-04-16 23:39:20.660 +1000,
49,%,percent,45,2023-04-16 23:39:20.660 +1000,
50,‰,per mil,45,2023-04-16 23:39:20.660 +1000,
51,km,kilometer,3,2023-04-16 23:39:20.660 +1000,
52,m,meter,3,2023-04-16 23:39:20.660 +1000,
53,dm,decimeter,3,2023-04-16 23:39:20.660 +1000,
54,cm,centimeter,3,2023-04-16 23:39:20.660 +1000,
55,mm,millimeter,3,2023-04-16 23:39:20.660 +1000,
56,µm,micrometer,3,2023-04-16 23:39:20.660 +1000,
57,nm,nanometer,3,2023-04-16 23:39:20.660 +1000,
58,km^2,square kilometer,4,2023-04-16 23:39:20.660 +1000,
59,ha,hectare,4,2023-04-16 23:39:20.660 +1000,
60,m^2,square meter,4,2023-04-16 23:39:20.660 +1000,
61,dm^2,square decimeter,4,2023-04-16 23:39:20.660 +1000,
62,cm^2,square centimeter,4,2023-04-16 23:39:20.660 +1000,
63,mm^2,square millimeter,4,2023-04-16 23:39:20.660 +1000,
64,µm^2,square micrometer,4,2023-04-16 23:39:20.660 +1000,
65,nm^2,square nanometer,4,2023-04-16 23:39:20.660 +1000,
66,km^3,cubic kilometer,5,2023-04-16 23:39:20.660 +1000,
67,m^3,cubic meter,5,2023-04-16 23:39:20.660 +1000,
68,dm^3,cubic decimeter,5,2023-04-16 23:39:20.660 +1000,
69,cm^3,cubic centimeter,5,2023-04-16 23:39:20.660 +1000,
70,mm^3,cubic millimeter,5,2023-04-16 23:39:20.660 +1000,
71,µm^3,cubic micrometer,5,2023-04-16 23:39:20.660 +1000,
72,nm^3,cubic nanometer,5,2023-04-16 23:39:20.660 +1000,
73,L,litre,5,2023-04-16 23:39:20.660 +1000,
74,dl,decilitre,5,2023-04-16 23:39:20.660 +1000,
75,cl,centilitre,5,2023-04-16 23:39:20.660 +1000,
76,ml,millilitre,5,2023-04-16 23:39:20.660 +1000,
77,µl,microlitre,5,2023-04-16 23:39:20.660 +1000,
78,nl,nanolitre,5,2023-04-16 23:39:20.660 +1000,
79,kg,kilogram,6,2023-04-16 23:39:20.660 +1000,
80,g,gram,6,2023-04-16 23:39:20.660 +1000,
81,mg,milligram,6,2023-04-16 23:39:20.660 +1000,
82,µg,microgram,6,2023-04-16 23:39:20.660 +1000,
83,ng,nanogram,6,2023-04-16 23:39:20.660 +1000,
84,°C,degree Celsius,8,2023-04-16 23:39:20.660 +1000,2023-09-06 21:39:25.409 +1000
85,K,kelvin,8,2023-04-16 23:39:20.660 +1000,2023-09-06 21:39:25.848 +1000
86,°F,degree Fahrenheit,8,2023-04-16 23:39:20.660 +1000,2023-09-06 21:39:26.162 +1000
87,kyr,year * 1000,7,2023-04-16 23:39:20.660 +1000,
88,yr,year,7,2023-04-16 23:39:20.660 +1000,
89,mos,month,7,2023-04-16 23:39:20.660 +1000,
90,day,day,7,2023-04-16 23:39:20.660 +1000,
91,hrs,hour,7,2023-04-16 23:39:20.660 +1000,
92,min,minute,7,2023-04-16 23:39:20.660 +1000,
93,sec,second,7,2023-04-16 23:39:20.660 +1000,
94,in,inch,3,2023-04-16 23:39:20.660 +1000,
95,ft,foot,3,2023-04-16 23:39:20.660 +1000,
96,mi,mile,3,2023-04-16 23:39:20.660 +1000,
97,nmi,nautical mile,3,2023-04-16 23:39:20.660 +1000,
98,oz,ounce,6,2023-04-16 23:39:20.660 +1000,
99,lb,pound,6,2023-04-16 23:39:20.660 +1000,
100,fl oz,fluid ounce,5,2023-04-16 23:39:20.660 +1000,
101,gal,gallon,5,2023-04-16 23:39:20.660 +1000,
102,ppm,parts per million,45,2023-04-16 23:39:20.660 +1000,
103,ppb,parts per billion,45,2023-04-16 23:39:20.660 +1000,
104,ppt,parts per trillion,45,2023-04-16 23:39:20.660 +1000,
105,g/L,,10,2023-04-16 23:39:20.660 +1000,
106,mg/L,,10,2023-04-16 23:39:20.660 +1000,
107,µg/L,,10,2023-04-16 23:39:20.660 +1000,
108,ng/L,,10,2023-04-16 23:39:20.660 +1000,
109,g/cm^3,,10,2023-04-16 23:39:20.660 +1000,
110,g/ml,,10,2023-04-16 23:39:20.660 +1000,
111,mg/ml,,10,2023-04-16 23:39:20.660 +1000,
112,pts/ml,,12,2023-04-16 23:39:20.660 +1000,
113,pts/g,,39,2023-04-16 23:39:20.660 +1000,
114,pts/cm^2,,39,2023-04-16 23:39:20.660 +1000,
115,pts/cm^3,,12,2023-04-16 23:39:20.660 +1000,
116,pts/tabl,,39,2023-04-16 23:39:20.660 +1000,
117,pts/area,,39,2023-04-16 23:39:20.660 +1000,
118,pts/aliq,,39,2023-04-16 23:39:20.660 +1000,
119,grns/ml,,12,2023-04-16 23:39:20.660 +1000,
120,grns/g,,39,2023-04-16 23:39:20.660 +1000,
121,grns/cm^2,,39,2023-04-16 23:39:20.660 +1000,
122,grns/cm^3,,12,2023-04-16 23:39:20.660 +1000,
123,grns/tabl,,39,2023-04-16 23:39:20.660 +1000,
124,grns/area,,39,2023-04-16 23:39:20.660 +1000,
125,grns/aliq,,39,2023-04-16 23:39:20.660 +1000,
126,parts/ml,,12,2023-04-16 23:39:20.660 +1000,
127,parts/g,,39,2023-04-16 23:39:20.660 +1000,
128,parts/cm^2,,12,2023-04-16 23:39:20.660 +1000,
129,parts/cm^3,,12,2023-04-16 23:39:20.660 +1000,
130,parts/tabl,,39,2023-04-16 23:39:20.660 +1000,
131,parts/area,,39,2023-04-16 23:39:20.660 +1000,
132,parts/aliq,,39,2023-04-16 23:39:20.660 +1000,
133,frags/ml,,12,2023-04-16 23:39:20.660 +1000,
134,frags/g,,39,2023-04-16 23:39:20.660 +1000,
135,frags/cm^2,,39,2023-04-16 23:39:20.660 +1000,
136,frags/cm^3,,12,2023-04-16 23:39:20.660 +1000,
137,frags/tabl,,39,2023-04-16 23:39:20.660 +1000,
138,frags/area,,39,2023-04-16 23:39:20.660 +1000,
139,frags/aliq,,39,2023-04-16 23:39:20.660 +1000,
140,NISP/ml,,12,2023-04-16 23:39:20.660 +1000,
141,NISP/g,,39,2023-04-16 23:39:20.660 +1000,
142,NISP/cm^2,,39,2023-04-16 23:39:20.660 +1000,
143,NISP/cm^3,,12,2023-04-16 23:39:20.660 +1000,
144,NISP/tabl,,39,2023-04-16 23:39:20.660 +1000,
145,NISP/area,,39,2023-04-16 23:39:20.660 +1000,
146,NISP/aliq,,12,2023-04-16 23:39:20.660 +1000,
147,NISP dig,NISP digitsed,1,2023-04-16 23:39:20.660 +1000,
148,g/kg,,14,2023-04-16 23:39:20.660 +1000,
149,mg/kg,,14,2023-04-16 23:39:20.660 +1000,
150,µg/kg,,14,2023-04-16 23:39:20.660 +1000,
151,ng/kg,,14,2023-04-16 23:39:20.660 +1000,
152,mg/g,,14,2023-04-16 23:39:20.660 +1000,
153,µg/g,,14,2023-04-16 23:39:20.660 +1000,
154,ng/g,,14,2023-04-16 23:39:20.660 +1000,
155,cm^2/ml,,15,2023-04-16 23:39:20.660 +1000,
156,mm^2/ml,,15,2023-04-16 23:39:20.660 +1000,
157,µm^2/ml,,15,2023-04-16 23:39:20.660 +1000,
158,cts/cm^2/yr,,15,2023-04-16 23:39:20.660 +1000,
159,grns/cm^2/yr,,15,2023-04-16 23:39:20.660 +1000,
160,parts/cm^2/yr,,15,2023-04-16 23:39:20.660 +1000,
161,frags/cm^2/yr,,15,2023-04-16 23:39:20.660 +1000,
162,sphrs/cm^2/yr,,15,2023-04-16 23:39:20.660 +1000,
163,g/cm^2/yr,,15,2023-04-16 23:39:20.660 +1000,
164,area/μm^2/cm^3,,15,2023-04-16 23:39:20.660 +1000,
165,area/mm^2,,15,2023-04-16 23:39:20.660 +1000,
166,area/mm^2/g,,15,2023-04-16 23:39:20.660 +1000,
167,area/mm^2/cm^3,,15,2023-04-16 23:39:20.660 +1000,
168,area/mm^2/cm^2/yr,,15,2023-04-16 23:39:20.660 +1000,
169,area/cm^3,,15,2023-04-16 23:39:20.660 +1000,
170,pts/cm^2/cm^3,,15,2023-04-16 23:39:20.660 +1000,
171,pts/cm^3/yr,,15,2023-04-16 23:39:20.660 +1000,
172,% moist mass,,15,2023-04-16 23:39:20.660 +1000,
173,% dry weight,,15,2023-04-16 23:39:20.660 +1000,
174,% of pollen sum,,15,2023-04-16 23:39:20.660 +1000,
175,% of tot org,% of total organic fraction,15,2023-04-16 23:39:20.660 +1000,
176,C:P,C:P ratio,38,2023-04-16 23:39:20.660 +1000,2023-11-14 04:24:49.436 +1100
177,area:pollen,area:pollen ratio,38,2023-04-16 23:39:20.660 +1000,2023-11-14 04:24:23.236 +1100
178,% BC,% BC,15,2023-09-05 20:35:44.749 +1000,2023-09-05 20:35:44.749 +1000
180,other,other,180,2023-11-14 04:18:04.414 +1100,2023-11-14 04:30:28.166 +1100
181,ordinal,ordinal scale,2,2023-11-14 04:20:41.197 +1100,2023-11-14 04:21:30.365 +1100
182,char:Lycopodium,char:Lycopodium ratio,38,2023-11-14 04:23:37.989 +1100,2023-11-14 04:23:37.989 +1100
183,pts(1k grns/g),point count(1000 grains per gram),17,2023-11-14 04:29:41.234 +1100,2023-11-14 04:29:41.234 +1100
184,cm^2/cm^2/yr,,15,2023-11-14 04:35:10.315 +1100,2023-11-14 04:35:10.315 +1100
185,frags/g/yr,,39,2023-11-14 04:36:21.115 +1100,2023-11-14 04:36:21.115 +1100
186,cm^2/g,,15,2023-11-14 04:37:14.303 +1100,2023-11-14 04:37:14.303 +1100
187,area/ml,,15,2023-11-14 04:38:26.436 +1100,2023-11-14 04:38:26.436 +1100
188,cm^2/cm^3,,15,2023-11-14 04:52:33.421 +1100,2023-11-14 04:52:33.421 +1100
189,mm^2/cm^3,,15,2023-11-14 04:52:50.332 +1100,2023-11-14 04:52:50.332 +1100
190,mm^2/cm^2/yr,,15,2023-11-14 04:53:05.717 +1100,2023-11-14 04:53:05.717 +1100
191,mm^2/g,,15,2023-11-14 04:53:18.765 +1100,2023-11-14 04:53:18.765 +1100
