"ELEMTYPEID","ELEMENTYPE","DATASRCID","CREATED_AT","UPDATED_AT"
53,"metacarpal",10,"2024-04-12 14:01:54.970 +0200",NA
54,"metapodial",10,"2024-04-12 14:01:54.970 +0200",NA
55,"metatarsal",10,"2024-04-12 14:01:54.970 +0200",NA
56,"middle cuneiform",10,"2024-04-12 14:01:54.970 +0200",NA
57,"nasal",10,"2024-04-12 14:01:54.970 +0200",NA
58,"navicular",10,"2024-04-12 14:01:54.970 +0200",NA
59,"occipital",10,"2024-04-12 14:01:54.970 +0200",NA
60,"occipital condyle",10,"2024-04-12 14:01:54.970 +0200",NA
61,"palate",10,"2024-04-12 14:01:54.970 +0200",NA
62,"palate, edentulous",10,"2024-04-12 14:01:54.970 +0200",NA
63,"palate, teeth",10,"2024-04-12 14:01:54.970 +0200",NA
64,"parietal",10,"2024-04-12 14:01:54.970 +0200",NA
65,"pelvis",10,"2024-04-12 14:01:54.970 +0200",NA
66,"phalanx, proximal (first)",10,"2024-04-12 14:01:54.970 +0200",NA
67,"phalanx, intermediate (second)",10,"2024-04-12 14:01:54.970 +0200",NA
68,"phalanx, distal (third)",10,"2024-04-12 14:01:54.970 +0200",NA
69,"pisiform",10,"2024-04-12 14:01:54.970 +0200",NA
70,"premaxilla, edentulous",10,"2024-04-12 14:01:54.970 +0200",NA
71,"premaxilla, teeth",10,"2024-04-12 14:01:54.970 +0200",NA
72,"prepubis",10,"2024-04-12 14:01:54.970 +0200",NA
73,"presphenoid",10,"2024-04-12 14:01:54.970 +0200",NA
74,"pterygoid",10,"2024-04-12 14:01:54.970 +0200",NA
75,"pubis",10,"2024-04-12 14:01:54.970 +0200",NA
76,"quill",10,"2024-04-12 14:01:54.970 +0200",NA
77,"radius",10,"2024-04-12 14:01:54.970 +0200",NA
78,"rib",10,"2024-04-12 14:01:54.970 +0200",NA
80,"rostrum",10,"2024-04-12 14:01:54.970 +0200",NA
81,"scaphoid",10,"2024-04-12 14:01:54.970 +0200",NA
82,"scapula",10,"2024-04-12 14:01:54.970 +0200",NA
83,"sesamoid",10,"2024-04-12 14:01:54.970 +0200",NA
84,"skull",10,"2024-04-12 14:01:54.970 +0200",NA
85,"skull, edentulous",10,"2024-04-12 14:01:54.970 +0200",NA
86,"skull, teeth",10,"2024-04-12 14:01:54.970 +0200",NA
87,"squamosal",10,"2024-04-12 14:01:54.970 +0200",NA
88,"tarsal",10,"2024-04-12 14:01:54.970 +0200",NA
89,"tibia",10,"2024-04-12 14:01:54.970 +0200",NA
90,"tibia-fibula",10,"2024-04-12 14:01:54.970 +0200",NA
91,"tooth",10,"2024-04-12 14:01:54.970 +0200",NA
92,"tooth, canine",10,"2024-04-12 14:01:54.970 +0200",NA
93,"tooth, crown",10,"2024-04-12 14:01:54.970 +0200",NA
94,"tooth, deciduous",10,"2024-04-12 14:01:54.970 +0200",NA
95,"tooth, deciduous canine",10,"2024-04-12 14:01:54.970 +0200",NA
96,"tooth, deciduous incisor",10,"2024-04-12 14:01:54.970 +0200",NA
97,"tooth, deciduous premolar",10,"2024-04-12 14:01:54.970 +0200",NA
98,"tooth, fifth incisor",10,"2024-04-12 14:01:54.970 +0200",NA
99,"tooth, first deciduous incisor",10,"2024-04-12 14:01:54.970 +0200",NA
100,"tooth, first deciduous premolar",10,"2024-04-12 14:01:54.970 +0200",NA
