LAB_ORIGID,LAB_PREFIX,LAB_FACLTY,CNTRY,LAB_ACTIVE,LAB_MTD,LAB_URL,LAB_SOURCE,CREATED_AT,UPDATED_AT
80,GU,Scottish Universities Research & Reactor Centre,GBR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
81,GV,"AMS Golden Valley, Novosibirsk",RUS,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
82,GX,Geochron Laboratories,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
83,GXNUAMS,Guangxi Normal Univ. AMS Lab,CHN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
84,H,Heidelberg,DEU,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
85,HAM,Hamburg,DEU,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
86,HAR,Harwell,GBR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
87,Hd,Heidelberg,DEU,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
88,Hel,Helsinki,FIN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
89,Hela,Helsinki AMS,FIN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
90,HIG,Hawaii Inst. of Geophys.,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
91,HL,Second Inst. of Oceanography,CHN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
92,HNS,"Hasleton-Nuclear, Palo Alto",USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
93,Hv,Hannover,DEU,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
94,I,Teledyne Isotopes,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
95,IAA,Inst. of Accelerator Analysis (beta counting),JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
96,IAAA,Inst. of Accelerator Analysis (AMS),JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
97,IAEA,International Atomic Energy Agency,AUT,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
98,IAEA-MEL,Marine Environmental Lab.,MCO,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
99,ICA,International Chemical Analysis,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
100,ICEN,Inst.o Tecnologico e Nuclear,PRT,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
101,IEMAE,Inst. of Evolutionary Morphology & Animal Ecology,RUS,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
102,IF AO,Inst. frangais d'archeologie orientale,EGY,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
103,LAR,Liege State Univ.,BEL,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
104,IGAN,Inst. of Geography,RUS,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
105,IGS,Inst. of Geological Sci.,BLR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
106,IGSB,Inst. of Geological Sci.,BLR,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
107,IHME,Marzeev Inst. of Hygiene Med. Ecol.,UKR,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
108,II,"Isotopes, Inc., Palo Alto",USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
109,IMTA,Inst. Mexicano de Tecnologia del Agua,MEX,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
110,IOAN,Inst. of Oceanography,RUS,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
111,IORAN,Inst. of Oceanology,RUS,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
112,IRPA,Royal Inst. for Cultural Heritage,BEL,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
113,ISGS,Illinois State Geological Survey,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
114,IUACD,Inter Univ. Accelerator Centre,IND,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
115,IVAN,Inst. of Volcanology,UKR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
116,IVIC,Caracas,VEN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
117,IWP,Inst. of Water Problems,RUS,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
118,JAT,Tono Geoscience Center (JAEA),JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
119,K,Copenhagen,DNK,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
120,KATRI,Korea Apparel Testing,KOR,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
121,KEEA,Kyushu Environ. Eval. Assoc. Property Research Inst.,JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
122,KGM,Korea Inst. of Geoscience & Mineral Resources (KIGAM),KOR,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
123,Kl,Kiel,DEU,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
124,KIA,Kiel AMS,DEU,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
125,Ki (KIEV),Inst. of Radio-Geochemistry of the Environment,UKR,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
126,KIK,Royal Inst. for Cultural Heritage,BEL,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
127,KN,Koln,DEU,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
128,KR,Krakow,POL,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
129,KRIL,Krasnoyarsk Inst.,RUS,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
130,KSU,Kyoto Sangyo Univ.,JPN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
131,L,Lamont-Doherty,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
132,LACUFF,Fluminense Federal Univ.,BRA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
133,LAEC,Lebanese Atomic Energy Commission (LAEC),LBN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
134,LE,St. Petersburg,RUS,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
135,LEMA,Lab. de Espectrometria de Masas con Aceleradores,MEX,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
136,LIH,NCSR Demokritos,GRC,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
137,u,Scripps (UCSD) La Jolla,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
138,LTL,Univ. of Lecce,ITA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
139,Lu,Lund,SWE,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
140,LuA,Lund,SWE,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
141,LuS,Lund,SWE,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
142,LU,St. Petersburg State Univ.,RUS,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
143,Lv,Louvain-la-Neuve,BEL,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
144,Ly,Univ. of Lyon,FRA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
145,LZU,Lanzhou Univ.,CHN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
146,M,Univ. of Michigan,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
147,Ma,Univ. of Winnepeg,CAN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
148,MAG,Quaternary Geology,RUS,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
149,MAMS,Curt-Engelhorn-Zentrum Archaeom.,DEU,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
150,MC,Centre Scientifique,MCO,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
151,METU,Middle East Technical Univ.,TUR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
152,MKL,Lab. of Absolute Dating,POL,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
153,MTC,Univ. of Tokyo,JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
154,N,Nishina Memorial,JPN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
155,NIST,National Inst. of Standards and Technology,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
156,NPL,"National Physical Lab., Middlesex",GBR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
157,NS,Nova Scotia Research Foundation,CAN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
158,NSRL,INSTAAR - Univ. of Colorado,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
159,NSTF,"Nuclear Science & Technology Facility, State Univ. of New York",USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
160,NSW,Univ. of New South Wales,AUS,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
161,NTU,National Taiwan Univ. Republic of China,CHN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
162,NU,Nihon Univ.,JPN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
163,NUTA,Tandetron AMS Lab,JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
164,Ny,"Nancy, Centre de Recherches Radiogeologiques",FRA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
165,NZ,Rafter Radiocarbon Lab,NZL,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
166,NZA,Rafter (AMS),NZL,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
167,O,Humble Oil & Refining,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
168,OBDY,ORSTOM Bondy,FRA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
169,OR,Research Center of Radioisotopes,JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
170,ORINS,Oak Ridge Inst. of Nuclear Studies,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
171,OS,"National Ocean Sciences, AMS Facility Woods Hole Oceanographic Inst.",USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
172,OWU,Ohio Wesleyan Univ.,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
173,OX,"USDA (Oxford, Miss.)",USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
174,OxA,Oxford Radiocarbon Accelerator Unit,GBR,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
175,OZ,ANSTO-ANTARES,AUS,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
176,LZ,Umweltforschungszentrum Leipzig-Halle UFZ,DEU,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
177,Beta-,Beta Analytics,USA,,C14,,HM: Internet,2021-11-19 22:11:05.011 +1100,2023-11-16 01:38:07.687 +1100
178,P,Max-Planck-lnstitut Geochron. Lab,DEU,,"C14, Lead-210",,"Radiocarbon, modified",2021-11-19 22:11:05.011 +1100,2023-09-29 15:49:43.481 +1000
179,p,Univ. of Pennsylvania,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
180,PAL,Palynosurvery Co.,JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
181,Pi,Pisa,ITA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
182,PI,Permafrost Inst.,RUS,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
183,PIC,Packard,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
184,PITT,Univ. of Pittsburgh,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
185,Poz,Poznan,POL,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
186,Pr,Prague,CZE,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
187,PKU,Peking Univ.,CHN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
188,PKUAMS,Peking Univ. AMS lab,CHN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
189,PL,Purdue Rare Isotope Measurement Lab,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
190,PLD,"Paleo Labo. Co., Ltd.",JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
191,PRI,PaleoResearch Inst.,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
192,PRL,Radiocarbon Dating Research Unit,IND,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
193,PRLCH,Physical Research Lab.,IND,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
194,PSU,Penn State Univ.,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
195,PSUAMS,Penn State Univ.,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
196,Pta,Pretoria,ZAF,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
197,Q,Cambridge,GBR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
198,QL,Quaternary Isotope Lab.,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
199,QC,Queens College,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
200,QU,"Centre de Recherches Canada Minerales, Quebec",CAN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
201,R,Rome,ITA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
202,RCD,Radiocarbon Dating,GBR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
203,RCMib,Milano Bicocca Univ.,ITA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
204,Rl,"Radiochemistry, Inc.",USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
205,RICH,Royal Inst. for Cultural Heritage,BEL,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
206,RIDDL,Simon Fraser Univ.,CAN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
207,Riga,Inst. of Science,LVA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
208,RL,"Radiocarbon, Ltd.",USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
209,roams,National Inst. for Physics and Nuclear Engineering,ROU,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
210,Rome,"Dept, of Earth Sciences, Rome",ITA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
211,RT,Rehovot,ISR,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
212,RTK,Rehovot,ISR,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
213,RU,Rice Univ.,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
214,S,Saskatchewan,CAN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
215,Sa,"Saclay, Gif-sur-Yvette",FRA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
216,Sac,Inst.o Tecnologico Portugal e Nuclear,PRT,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
