JOURNALID,JOURNAL,JOURNALABB,PRINT_ISSN,ONLIN_ISSN
142,Acta Universitatis Carolinae Geographica,Acta_U_Carol_Geogr,0300-5402,2336-1980
143,Bulletin of Volcanology,B_Volcanol,0258-8900,1432-0819
144,Annals of the Association of American Geographers,Ann_Assoc_Am_Geogr,0004-5608,1467-8306
145,Journal of Climate,J_Climate,0894-8755,1520-0442
146,Cryosphere,The Cryosphere,1994-0416,1994-0424
147,Polar Research,Polar_Res,0800-0395,1751-8369
148,Geochronometria,Geochronometria,1733-8387,1897-1695
149,Global Change Biology,Global_Change_Biol,1354-1013,1365-2486
150,Journal of Glaciology and Geocryology,J_Glaciol_Geocryol,,1000-0240
151,Eclogae Geologicae Helvetiae,Eclogae_Geol_Helv,,1420-9128
152,Quaternary Science Advances,Quaternary_Sci_Adv,,2666-0334
153,Polar Science,Polar_Sci,1873-9652,1876-4428
154,Archiv für Geschiebekunde,Arch_Geschiebe,,0936-2967
155,Bulletin of the National Museum of Japanese History,B_Natl_Mus_Japan,,0286-7400
156,Nuclear Instruments and Methods in Physics Research B,Nucl_Instrum_Meth_B,0168-583X,1872-9584
157,Canadian Journal of Earth Sciences,Can_J_Earth_Sci,0008-4077,1480-3313
158,Cave and Karst Science,Cave_Karst_Sci,,1356-191X
159,International Geology Review,Int_Geol_Rev,0020-6814,1938-2839
160,Chinese Journal of Polar Science,Chinese_J_Polar_Sci,,1007-7065
161,Chinese Science Bulletin,Chinese_Sci_B,1001-6538,1861-9541
162,Geographica Helvetica,Geogr_Helv,0016-7312,2194-8798
163,Geochronology,Geochronology,,2628-3719
164,Geografický časopis,Geogr_Casopis,0016-7193,2453-8787
165,npj Climate and Atmospheric Science,npj_Clim_Atmos:Sci,,2397-3722
166,Science Bulletin,Sci_Bull_CHN,2095-9273,2095-9281
167,Science Advances,Science_Adv,,2375-2548
168,Norwegian Journal of Geology,Norw_J_Geol,2387-5852,2387-5844
169,Relief Boden Paläoklima,Relief_Boden_Pal,,0720-4876
170,Geological Society of America Special Papers,Geol_Soc_Am_S,0072-1077,2331-219X
171,Science in China Series D: Earth Sciences,Sci_China_Ser_D,1006-9313,1862-2801
172,"Transactions, Japanese Geomorphological Union",T_Japanese_Geomorph,,0389-1755
173,The Quaternary Research (Daiyonki-Kenkyu),Quaternary_Res_Japan,0418-2642,1881-8129
174,Marine Pollution Bulletin,Mar_Pollut_Bull,0025-326X,1879-3363
175,Quaternary,Quaternary,,2571-550X
176,"Proceedings of the Royal Society of London. Series A, Mathematical, Physical and Engineering Sciences",P_R_Soc_A,1364-5021,1471-2946
177,Pirineos. Revista de Ecología de Montaña,Pirineos,0373-2568,1988-4281
178,Australian Geographical Studies,Aust_Geogr_Stud,0004-9190,1467-8470
179,Current Anthropology,Curr_Anthropol,0011-3204,1537-5382
180,Sedimentology,Sedimentology,0037-0746,1365-3091
181,Archaeological Heritage,Archaeol_Heritage,,
182,Victorian Naturalist,Victorian_Nat,,
183,Ecology,Ecology,,1939-9170
184,Journal of Geophysical Research: Biogeosciences,J_Geophys_Res-BioGeo,,2169-8961
185,New Phytologist,New_Phytologist,0028-646X,1469-8137
186,Journal of Ecology,J_Ecol,,1365-2745
187,land,land,,2073-445X
188,Archaometry,Archaometry,,1475-4754
189,Economic Botany,Econ_Bot,0013-0001,1874-9364
190,Fieldiana. Anthropology,Fieldiana_Anthropol,0071-4739,2162-4321
191,Geographical Research,Geogr_Res,1745-5863,1745-5871
192,Hemisphere,Hemisphere,0018-0300,
193,HOMO - Journal of Comparative Biology,Homo,0018-442X,1618-1301
194,International Journal of Historical Archaeology,Int_J_Hist_Archaeol,1092-7697,1573-7748
195,Journal de la Société des Océanistes,J_Soc_Ocean,0300-953X,1760-7256
196,Journal of Field Archaeology,J_Field_Archaeol,0093-4690,2042-4582
197,Journal of Indo-Pacific Archaeology,J_Indo-Pac_Archaeol,,2375-0510
