LAB_ORIGID,LAB_PREFIX,LAB_FACLTY,CNTRY,LAB_ACTIVE,LAB_MTD,LAB_URL,LAB_SOURCE
312,SR,Harare (Salisbury Rhodesia),ZWE,,C14,,RadonKiel
313,SRR,NERC Radiocarbon Lab.,GBR,,C14,,RadonKiel
314,St,Stockholm,SWE,,C14,,RadonKiel
315,Su,Finland,FIN,,C14,,RadonKiel
316,SUERC,Scottish Universities Environmental Research Centre,GBR,,C14,,RadonKiel
317,SWA,Swansea,GBR,,C14,,RadonKiel
318,Ta,Tartu,FIN,,C14,,RadonKiel
319,TAM,Texas A & M Univ.,USA,,C14,,RadonKiel
320,Tln,Tallinn,EST,,C14,,RadonKiel
321,UGAMS,Univ. of Georgia AMS,USA,,C14,,RadonKiel
322,WHAMS,National Ocean Sciences AMS Facility,USA,,C14,,RadonKiel
323,LLNL,Lawrence Livermore National Lab.,USA,,C14,,HM: Internet
324,ARL,Army Research Laboratory Aberdeen Proving Ground,USA,,C14,,pelletron.com
325,Ad,Prescott Environmental Lum. Lab. Adelaide,AUS,,OSL,,HM: Internet
326,UOW,UOW OSL Dating Lab. Wollongong,AUS,TRUE,OSL,,HM: Internet
327,MQU,Macquaire Univ. Lum. Dating Facility,AUS,,OSL,,HM: Internet
328,,Univ. Melbourne Lum. Dating Facility,AUS,,OSL,,HM: Internet
329,GU,"Griffith Univ. OSL Dating Laboratory, Australian Rivers Inst.",AUS,,OSL,,HM: Internet
330,WLL,Victoria Univ. of Wellington Lum. Dating Facility,NZL,,OSL,,HM: Internet
331,ANU,ANU Lum. Dating Laboratory Canberra,AUS,,OSL,,HM: Internet
332,C-L,Cologne Lum. Laboratory (CLL),DEU,,OSL,,HM: Internet
333,EVA,Max Planck Inst. for Evolutionary Anthropology Lum. Dating Lab. Leipzig,DEU,,OSL,,HM: Internet
334,L-EVA,Max Planck Inst. for Evolutionary Anthropology Lum. Dating Lab. Leipzig,DEU,,OSL,,HM: Internet
335,UW,University of Washington Lum.Dating Laboratory,USA,,OSL,,HM: Internet
336,W,"UOW TL Dating Lab. Wollongong, David Price",AUS,,TL,,HM: Internet
337,Ad,Prescott Environmental Lum. Lab. Adelaide,AUS,,TL,,HM: Internet
338,ALPHA,Alpha Analytic Inc.,USA,,TL,,HM: Internet
339,CABAH,UOW OSL Dating Lab. Wollongong,AUS,TRUE,OSL,,HM: Internet
340,Shfd,Sheffield Lum. Lab.,GBR,,OSL,,HM: Internet
341,CLW,"CSIRO Land and Water, Canberra",AUS,,OSL,,HM: Internet
342,X,Oxford Lum. Lab.,GBR,,OSL,,HM: Internet
343,Ox,Oxford Lum. Lab.,GBR,,OSL,,HM: Internet
345,GXO,Geochron Laboratories,USA,FALSE,C14,,pelletron.com
346,CSIRO,Commonwealth Scientific and Industrial Research Organisation,AUS,,C14,,pelletron.com
347,ANUOD,Australian National University,AUS,,OSL,,HM: Internet
348,GL,University of Gloucestershire,GBR,,OSL,,JQuatSci
349,UNSW,"Mark Wainwright Analytical Centre, UNSW Sydney",AUS,TRUE,C14,https://www.analytical.unsw.edu.au/facilities/sseau/radiocarbon-laboratory,HM: Internet
350,USU,Utah State University Lum. Lab,USA,TRUE,OSL,https://www.usu.edu/geo/osl/,HM: Internet
351,KCCAMS,"W. M. Keck Carbon Cycle Accelerator Mass Spectrometer Facility, UC Irvine",USA,TRUE,C14,https://sites.ps.uci.edu/kccams/,HM: Internet
352,S-ANU,"Australian National Univ., EC Single Stage AMS ",AUS,TRUE,C14,https://earthsciences.anu.edu.au/research/facilities/accelerator-mass-spectrometer,HM: Internet
353,YAUT,"Atmosphere and Ocean Research Institute, Univ. of Tokyo",JPN,,C14,https://www.aori.u-tokyo.ac.jp/english/,HM: Internet
